table_name;ordinal_position;column_name;type_sql;is_nullable;column_default
closures;1;id;bigint(64,0);NO;
closures;2;patient_id;bigint(64,0);NO;
closures;3;site_id;bigint(64,0);NO;
closures;4;source_uuid;uuid;NO;
closures;5;closure_type;character varying(50);YES;
closures;6;closure_date;date;YES;
closures;7;transfer_date;date;YES;
closures;8;transfer_destination;character varying(255);YES;
closures;9;transfer_reason;character varying(255);YES;
closures;10;death_date;date;YES;
closures;11;actual_death_date;date;YES;
closures;12;death_cause_code;character varying(255);YES;
closures;13;death_cause_text;character varying(255);YES;
closures;14;voluntary_stop_date;date;YES;
closures;15;hiv_negative_date;date;YES;
closures;16;extra_data;jsonb;YES;
closures;17;voided;boolean;YES;false
closures;18;created_at;timestamp without time zone;NO;now()
closures;19;updated_at;timestamp without time zone;NO;now()
dispensations;1;id;bigint(64,0);NO;
dispensations;2;patient_id;bigint(64,0);NO;
dispensations;3;site_id;bigint(64,0);NO;
dispensations;4;source_uuid;uuid;NO;
dispensations;5;dispensation_date;date;NO;
dispensations;6;arv_regimen;character varying(100);YES;
dispensations;7;duration_days;integer(32,0);YES;
dispensations;8;next_dispensation_date;date;YES;
dispensations;9;stockout_date;date;YES;
dispensations;10;extra_data;jsonb;YES;
dispensations;11;voided;boolean;YES;false
dispensations;12;created_at;timestamp without time zone;NO;now()
dispensations;13;updated_at;timestamp without time zone;NO;now()
districts;1;id;bigint(64,0);NO;
districts;2;code;character varying(50);NO;
districts;3;region_id;bigint(64,0);NO;
districts;4;name;character varying(255);NO;
districts;5;source_uuid;character varying(38);YES;
districts;6;created_at;timestamp without time zone;NO;now()
districts;7;updated_at;timestamp without time zone;NO;now()
identifier_types;1;id;integer(32,0);NO;
identifier_types;2;code;character varying(50);NO;
identifier_types;3;name;character varying(255);NO;
identifier_types;4;description;text;YES;
identifier_types;5;format_regex;character varying(255);YES;
identifier_types;6;is_active;boolean;YES;true
lab_results;1;id;bigint(64,0);NO;
lab_results;2;patient_id;bigint(64,0);NO;
lab_results;3;site_id;bigint(64,0);NO;
lab_results;4;source_uuid;uuid;NO;
lab_results;5;encounter_source_uuid;uuid;NO;
lab_results;6;test_uuid;character varying(38);NO;
lab_results;7;test_name;character varying(255);YES;
lab_results;8;exam_date;date;YES;
lab_results;9;value_numeric;numeric(15,4);YES;
lab_results;10;value_text;character varying(255);YES;
lab_results;11;value_coded;character varying(255);YES;
lab_results;12;unit;character varying(100);YES;
lab_results;13;voided;boolean;YES;false
lab_results;14;created_at;timestamp without time zone;NO;now()
lab_results;15;updated_at;timestamp without time zone;NO;now()
patient_identifiers;1;id;bigint(64,0);NO;
patient_identifiers;2;patient_id;bigint(64,0);NO;
patient_identifiers;3;identifier_type_id;integer(32,0);NO;
patient_identifiers;4;identifier_value;character varying(100);NO;
patient_identifiers;5;is_preferred;boolean;YES;false
patient_identifiers;6;site_id;bigint(64,0);NO;
patient_identifiers;7;source_uuid;uuid;YES;
patient_identifiers;8;valid_from;date;YES;
patient_identifiers;9;valid_to;date;YES;
patient_identifiers;10;voided;boolean;YES;false
patient_identifiers;11;created_at;timestamp without time zone;NO;now()
patient_identifiers;12;updated_at;timestamp without time zone;NO;now()
patients;1;id;bigint(64,0);NO;
patients;2;site_id;bigint(64,0);NO;
patients;3;source_uuid;uuid;NO;
patients;4;sex;character varying(1);YES;
patients;5;birth_date;date;YES;
patients;6;birth_date_estimated;boolean;YES;false
patients;7;birth_place;character varying(255);YES;
patients;8;profession;character varying(100);YES;
patients;9;education_level;character varying(100);YES;
patients;10;marital_status;character varying(100);YES;
patients;11;religion;character varying(100);YES;
patients;12;voided;boolean;YES;false
patients;13;voided_at;timestamp without time zone;YES;
patients;14;created_at;timestamp without time zone;NO;now()
patients;15;updated_at;timestamp without time zone;NO;now()
ptme_child_visits;1;id;bigint(64,0);NO;
ptme_child_visits;2;site_id;bigint(64,0);NO;
ptme_child_visits;3;source_uuid;character varying(64);NO;
ptme_child_visits;4;child_source_uuid;character varying(64);YES;
ptme_child_visits;5;visit_date;date;YES;
ptme_child_visits;6;age_in_day;smallint(16,0);YES;
ptme_child_visits;7;age_in_week;smallint(16,0);YES;
ptme_child_visits;8;age_in_month;smallint(16,0);YES;
ptme_child_visits;9;eating_type;character varying(80);YES;
ptme_child_visits;10;modern_contraceptive_method;boolean;YES;
ptme_child_visits;11;continuing_ctx;character varying(4);YES;
ptme_child_visits;12;continuing_inh;character varying(4);YES;
ptme_child_visits;13;extra_data;jsonb;YES;
ptme_child_visits;14;voided;boolean;YES;false
ptme_child_visits;15;created_at;timestamp without time zone;NO;now()
ptme_child_visits;16;updated_at;timestamp without time zone;NO;now()
ptme_children;1;id;bigint(64,0);NO;
ptme_children;2;site_id;bigint(64,0);NO;
ptme_children;3;source_uuid;character varying(64);NO;
